순번,키워드,표제어,설명,출처
283,아,일반물자,방산물자를 제외한 물자를 말한다.,방위사업관리규정 별표
284,아,일반예산,회계연도 내에 원인행위하여 동일 회계연도에 지출하도록 편성된 예산을 말한다.,조달관리 실무과정
285,아,일반확정계약,계약을 체결하는 때에 계약금액을 확정하고 합의된 계약조건을 이행하면 계약상대자에게 확정된 계약금액을 지급하고자 하는 경우에 체결하는 계약을 말한다.,방위사업법 시행령 제61조
286,아,일반회계,국가의 고유활동을 수행하는데 필요한 예산을 말한다.,계약업무 CHECKPOINT
287,아,입찰,경쟁방법을 통한 조달집행시 입찰내용을 국방전자조달시스템에 공고하여 불특정 다수인이 입찰에 참여하도록 유인하고 국가에 가장 유리한 조건을 제시한 자를 선정하기 위한 일련의 업무절차를 말한다.,계약실무편람
288,아,입찰공고,"계약에 관한 제반조건을 일반인에게 알려서 다수인으로 하여금 경쟁에 참가하게 하여 그 중에서 국가에 가장 유리한 조건을 제시한 자를 선정하여, 계약을 체결하기 위한 것으로 국방전자조달시스템을 이용해 공고하고 필요한 경우에 일간신문 등에 게재하는 방법을 병행할 수 있다. 국방전자조달시스템에 게시된 입찰공고는 나라장터로 입찰공고 정보가 연계되어 나라장터에도 동시에 게시된다. 입찰공고에는 입찰에 부치는 사항, 입찰 또는 개찰의 장소와 일시, 현장설명 관련 사항, 입찰참가자의 자격, 입찰참가등록, 입찰관련서류, 입찰보증금, 낙찰자결정방법, 계약 착수일과 만료일, 전자조달시스템을 이용한 입찰서 제출 방법 등 입찰에 필요한 사항이 명시되어야 한다.","계약상식 질의응답집, 국계법 시행령 제33조, 제36조"
289,아,입찰공고 자동연기,운영자가 통제할 수 없는 시스템 장애로 인해 사용자가 입찰에 참여할 수 없게 되는 경우 입찰참가 기회를 보장하기 위해 입찰공고의 마감일시를 자동연기 처리하는 것을 말한다. 연기처리 기준은 국방전자조달시스템 이용에 관한 약관에 명시되어 있다.,국방전자조달시스템 이용에 관한 약관
290,아,입찰공고번호,"국방전자조달시스템의 입찰공고번호는 아래와 같은 규칙으로 부여된다. 1. 공고번호 = 부서명(영문자 3자리) + 공고순서(숫자 4자리) 2. G2B공고번호(나라장터 공고번호) = 공고년도(숫자 4자리) + 부서명(영문자 3자리) + 공고순서(숫자 4자리) + 판단번호(4~5자리) 또는 공사번호(10자리) 공고번호 뒤에는 공고차수가 같이 표기되며 최초 입찰공고가 01차수가 되고 이후 재공고, 연기공고, 취소공고 등 게시되는 순서에 따라 02,03,04...차수로 표기된다.",정보화기획담당관
291,아,입찰공고일자,입찰공고가 국방전자조달시스템(인터넷)상에 게시된 날짜로써 시스템상 표기되는 공고일자와 입찰공고문(첨부파일)상의 공고일자가 다를 경우 시스템상 표기되는 공고일자를 우선으로 한다.,정보화기획담당관
292,아,입찰금액사유서,"입찰자가 제출한 공종별 입찰금액 단가산출의 기초자료 및 그 증빙서류, 입찰참가자가 직접 물량내역서를 작성한 경우에는 그 수량산출서 등을 말한다.",계약예규 5. 제2조
293,아,입찰당시가격,물가변동으로 인해 계약금액을 조정하는 경우 입찰서 제출마감일 당시 산정한 각 품목 또는 비목의 가격을 말한다.,국계법 시행규칙 제74조
294,아,입찰대리인,"업체대표자를 대신하여 국방전자조달시스템을 통한 전자입찰에 참여할 수 있는 대리자를 말한다. 입찰대리인 역시 조달청 나라장터에 대리인 정보와 공인인증서, 지문인식 등록을 완료해야 국방전자조달시스템의 입찰에 참여할 수 있다.",정보화기획담당관
295,아,입찰등록심사,입찰참가자가 해당 입찰에 참여할 수 있는지 공장등록 등 자격조건을 계약담당공무원이 심사하는 것을 말한다. 국방전자조달시스템의 등록심사는 심사 시점에 따라 사전심사와 사후심사로 구분된다.,정보화기획담당관
296,아,입찰보증금,"경쟁입찰에 참가하고자 하는 자가 입찰시 계약의 체결을 담보하는 보증금으로 납부하는 것을 말하며 입찰금액의 5/100 이상으로 하여야 하고, 입찰참가 등록마감일까지 입찰참가자가 입찰참가신청서와 함께 납부해야 한다.",계약상식 질의응답집
297,아,입찰보증서,"입찰보증금의 액수, 제출 방법 등을 기술한 문서를 말한다. 입찰보증금은 시스템에서 입찰참가신청서를 제출할 때 제출 방법을 선택할 수 있으며 전자보증서, 증권 등의 방법 또는 관련법령에 따른 입찰보증금 납부 면제 사유를 선택할 수 있다.",정보화기획담당관
298,아,입찰서,"입찰자가 자신이 입찰에 참여하고자 하는 금액을 적은 문서로 국외조달 등 시스템을 이용하기 어려운 경우 등을 제외하고는 국방전자조달시스템을 이용해 제출하여야 하며, 한번 제출한 입찰서는 변경할 수 없다.",국계법 시행령 제39조
299,아,입찰서제출마감일시,"입찰공고에 명시된 마감일 중 하나로 이 마감일시까지 입찰서를 제출해야 입찰에 참여한 것으로 인정된다. 입찰서는 등록심사 시점에 따라 사전심사인 경우 입찰참가신청서의 심사가 완료된 후에 제출 가능하며, 사후심사인 경우에는 입찰참가신청서 제출 후 곧바로 이어서 입찰서 제출이 가능하다.",정보화기획담당관
300,아,입찰안내서,"대안입찰 또는 기본설계입찰에 참가하고자 하는 자가 당해공사의 입찰에 참가하기 전에 숙지하여야 하는 공사의 범위·규모, 설계·시공기준, 품질 및 공정관리 기타 입찰 또는 계약이행에 관한 기본계획 및 지침등을 포함한 문서를 말한다.",국계법 시행령 제79조
301,아,입찰참가등록마감일시,입찰공고에 명시된 마감일 중 하나로 이 마감일시까지 입찰참가신청서류를 제출해야 입찰서를 제출할 수 있다.,계약예규 10. 제3조의2
302,아,입찰참가신청서,"입찰에 참여하기 위해서는 먼저 해당 입찰공고에 대해 입찰참가신청서를 제출하여야 한다. 국방전자조달시스템에서 작성하는 입찰참가신청서에는 해당 품목내역, 업체내역이 표시되며 공고문에서 제시한 서류를 첨부할 수 있고 입찰보증금(납부방법 또는 면제사유 선택) 기재, 시스템 약관과 특별유의서에 동의하는 내용 등이 포함된다.",정보화기획담당관
303,아,입찰참가자격사전심사,PQ심사. 입찰참가자격의 적정성을 사전에 심사하며 시설공사의 경우 추정가격이 100억원 이상인 공사입찰은 예정가격 이하로서 최저가격으로 입찰한 자부터 입찰금액의 적정성을 심사하여 낙찰자를 결정한다.,국계법 시행령 제42조
304,자,장기계속계약,"임차, 운송, 보관, 전기·가스·수도의 공급, 그 밖에 그 성질상 수년간 계속하여 존속할 필요가 있거나 이행에 수년을 요하는 계약에 대해 체결하는 계약으로 각 회계연도 예산의 범위에서 해당 계약을 이행하여야 한다. 방위사업청은 생산기간이 1년 이상 소요되는 무기체계 연구개발 또는 양산 계약 시 주로 사용하는 계약이다.","국계법 제21조, 계약실무편람"
305,자,장기계약,계약기간이 2회계연도 이상에 걸치는 계약을 말한다.,방위사업법 시행령 제60조
306,자,장기옵션계약,"계약을 체결할 때에 5년을 넘지 아니하는 범위에서 계약기간을 정하고, 예측 소요물량에 대한 가격, 기간 및 계약해지 등에 대한 변경조건을 설정하는 경우에 체결하는 계약을 말한다.",방위사업법 시행령 제61조
307,자,장애복구시각,실제로 시스템 장애가 복구된 시각으로 시스템 운영자가 국방전자조달시스템에 공지한다.,국방전자조달시스템 이용에 관한 약관
308,자,장애시간,시스템 장애로 인해 정상적인 업무를 볼 수 없는 시간으로 시스템 운영자가 국방전자조달시스템에 공지한 장애시작시각부터 장애복구시각까지의 시간을 의미한다.,국방전자조달시스템 이용에 관한 약관
309,자,장애시작시각,실제로 시스템 장애가 시작된 시각으로 시스템 운영자가 국방전자조달시스템에 공지한다.,국방전자조달시스템 이용에 관한 약관
310,자,재공고입찰,입찰자나 낙찰자가 없는 경우 또는 낙찰자가 계약을 체결하지 아니하는 경우에는 재공고입찰에 부칠 수 있다.,국계법 시행령 제20조
311,자,재료비,"제조원가를 구성하는 직접재료비, 간접재료비를 말한다. 직접재료비는 계약목적물의 실체를 형성하는 물품의 가치로서 주요재료비와 부분품비를 말하며, 간접재료비는 계약목적물의 실체를 형성하지는 않으나 제조에 보조적으로 소비되는 물품의 가치로서 소모재료비와 소모공구ㆍ기구ㆍ비품비, 포장재료비를 말한다.",계약예규 2. 제9조
312,자,재입찰,경쟁입찰에 있어서 2인 이상의 유효한 입찰자가 없거나 낙찰자가 없을 경우 같은 장소에서 재입찰에 부칠 수 있다.,국계법 시행령 제20조
313,자,적격심사,"국고의 부담이 되는 경쟁입찰에 있어서 계약대상자를 결정할 때, 기획재정부 장관이 고시하는 금액이상 입찰품목에 대하여는 입찰결과 최저가격을 제시한 업체 순으로 적격심사기준에 따라 심사하여 최종적으로 낙찰자를 결정하는 행위를 말한다.",계약실무편람
314,자,전력운영비,국방 운영을 위한 운영유지 비용으로 편성된 예산으로써 과거 '경상사업비'가 명칭이 바뀐 용어이다.,계약업무 CHECKPOINT
315,자,전문연구기관,"방위산업물자의 연구개발ㆍ시험ㆍ측정, 방위산업물자의 시험 등을 위한 기계ㆍ기구의 제작ㆍ검정, 방위산업체의 경영분석 또는 방위산업과 관련되는 소프트웨어의 개발을 위하여 방위사업청장의 위촉을 받은 기관을 말한다.",방위사업법 제3조
316,자,전비품,"군수품관리법에 따른 군수품으로서 「군사기밀보호법」에 따른 군사기밀에 속하는 군수품(비밀도서, 비밀지도 및 비밀연구기재 포함),「군사기지 및 군사시설 보호법」에 따른 군사기지 및 군사시설 보호구역에 보관되거나 배치된 군수품,  전투장비 및 전투지원장비와 이들을 운용하는 데에 필요한 보조장비(탑재 또는 장착되는 장비 포함), 수리부속품 및 탄약류를 말한다.",군수품관리법 시행령 제1조의2
317,자,전자계약,"전자문서 및 전자거래 기본법, 전자서명법에 따라 효력 있는 전자서명으로 전자문서를 통해 계약 체결하는 행위를 말한다.",정보화기획담당관
318,자,전자문서,"정보처리시스템에 의하여 전자적 형태로 작성, 송신ㆍ수신 또는 저장된 정보를 말하며 국방전자조달시스템에서 처리되는 입찰서, 입찰참가신청서, 계약서, 검사 및 납품조서 등 각종 문서가 여기에 해당된다.",전자문서 및 전자거래 기본법 제2조
319,자,전자문서유통,"EDI(Electronic Data Exchange). 국방전자조달시스템 대메뉴 중의 하나로 조달업체와 방위사업청 계약담당공무원, 각 군부대 계약관, 국방기술품질원 검사관 등이 전자계약체결, 인지세 납부, 전자세금계산서 발생, 검사 및 납품조서 발행 등 전자문서를 주고 받아 업무를 처리하는 체계를 말한다.",정보화기획담당관
320,자,전자민원창구,"청 홈페이지의 전자민원창구, 국방전자조달시스템 전자민원창구, 국민신문고(www.epeople.go.kr)의 민원신청 메뉴를 말한다. 본 메뉴를 통해 민원인은 온라인상에서 민원을 등록하고, 답변을 받을 수 있다.",방위사업민원사무처리규정 제4조
321,자,전자서명,서명자를 확인하고 서명자가 당해 전자문서에 서명을 하였음을 나타내는데 이용하기 위하여 당해 전자문서에 첨부되거나 논리적으로 결합된 전자적 형태의 정보를 말한다.,전자서명법 제2조
322,자,전자세금계산서 제도,"2010년 1월부터 국세청에서 시행한 제도로써 국가기관 및 지방자치단체로 하여금 매출시 수기로 발행하던 세금계산서를 전자적 방법으로 교부, 전송하도록 하고, 법인사업자로부터 세금계산서를 받을 경우에는 전자메일 방식으로 받도록 한 제도를 말한다. 본 제도 시행에 따라 국방전자조달시스템에서 대금청구 시 작성한 세금계산서를 국세청으로 연계할 수 있도록 개선되었다.",전자세금계산서 제도시행 통보
323,자,전자입찰,"국가를 당사자로 하는 계약법 시행령에 따라 국방전자조달시스템을 이용하여 행하여지는 입찰을 말하며, 특별한 규정이 있는 경우를 제외하고는 전자조달시스템을 이용한 전자입찰로 행하도록 되어 있다.",국방전자조달시스템 이용에 관한 약관 제2조
324,자,전자입찰자,국방전자조달시스템을 이용하여 전자입찰에 참가하는 국내 · 외 조달업체의 대표자 또는 위임 받아 업무를 처리하는 자를 말한다.,국방전자조달시스템 이용에 관한 약관 제2조
325,자,전차공사,금차공사와 동일체 구조물을 형성하여 장래 하자발생시 그 책임구분이 불분명한 사유(하자사유)가 발생될 수 있는 하자보수 보증기간 내 또는 시공 중에 있는 전차 구조물이거나 금차 공사기간 대비 시공 중인 공사의 잔여 공사기간의 비율(시간적중복도)이 40%이상이고 공간적으로 중복되어 작업상 혼잡을 야기할 수 있는 공사를 말한다.,계약업무처리훈령
326,자,절충교역,"외국으로부터 군수품을 획득할 때 외국 계약자에게 기술이전 및 부품 역수출 등 일정한 반대급부를 요구하는 조건부교역으로서 현금지급이 아닌 절충교역 가치(Offset Value)로 인정하는 것을 말하며, 이는 획득하고자 하는 군용물자와 관련된 기술이전 및 부품수출에 관한 직접절충교역과 획득하고자 하는 군용물자와 직접 관련이 없는 간접절충교역의 두 가지 형태로 구분한다.","방위사업법 제3조, 방위사업관리규정 별표"
327,자,절충교역 양해각서,"Offset MOU(Offset Memorandum Of Understanding). 국외업체와 각급기관 또는 국외업체와 국내업체간에 절충교역과 관련하여 상호간의 권리,  의무에 관한 사항을 명시한 문서를 말한다.",방위사업관리규정 별표
328,자,절충교역 합의각서,Offset MOA(Offset Memorandum Of Agreement). 절충교역과 관련하여 방위사업청과 국외도입물자를 계약한 국외업체간의 절충교역 계약조건과 제안내용에 대한 합의사항을 명시한 문서를 말한다.,방위사업관리규정 별표
329,자,접합금액,"전차공사 구조물과 기능이 상호 연결되어 동일체구조물을 형성하여 하자사유가 발생되고, 동일인이 계속하여 시공함이 적합하다고 판단되는 금차 공사금액 중 하자담보책임기간 내에 시공하는 금차 공사금액으로서  “접합금액”은 횡 또는 종방향으로 접합 시공되는 금액을 말하며, 하자담보책임기간 내에 당해 구조물을 시공하는데 필요로 하는 재료비(도급자설치 관급금액 포함, 이하 같다), 노무비, 산출경비, 제경비 등을 합한 완성 공사비를 기준으로 계산한다.",계약업무처리훈령
330,자,정부조달,"국민으로부터 받은 세금을 주요 재원으로 하는 정부나 공공기관이 공공재를 공급하기 위해서 민간부문으로부터 물품이나 건설공사 및 설계, 컨설팅 업무 등의 일정한 서비스를 구매하는 행위를 의미한다",국내외 전자조달서비스 분석
331,자,정산원가,방산원가에서 정산원가란 개산계약 체결분에 대한 계약금액의 결정을 위하여 해당 계약을 이행할 때에 실제 발생된 원가자료를 기초로 하여 당초의 개산원가를 수정한 원가를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
332,자,정상공고,국방전자조달시스템에 최초 게시된 입찰공고를 말한다.,정보화기획담당관
333,자,정정공고,입찰공고의 내용이 변경되는 경우 내는 공고를 정정공고라 한다.,정보화기획담당관
334,자,제안서,"협상에 의한 계약에 의한 입찰에 참고하고자 하는 자가 제안요청서 또는 입찰공고에 따라 공급자가 수행하려는 계획, 일정, 방법 등 구체적인 내용을 작성하여 계약담당공무원에게 제출하는 서류를 말한다. 각 업체가 제출한 제안서를 대상으로 기술능력과 입찰가격을 종합적으로 평가하며, 제안서 평가 결과 1순위 업체가 협상 우선 대상자로 선정된다.","국계법 시행령 제43조, 계약예규 6. 제2조, 제7조"
335,자,제안설명회,제안서평가시 제안(Proposal) 내용의 진위 확인 및 보충설명을 위해 사업에 참여하고자 제안서를 제출한 업체에서 제안내용을 제안서평가팀에게 설명해 주는 회의를 말한다.,사업관리본부 내규
336,자,제안요청서,"RFP(Request For Proposal). 발주기관이 해당 품목에 대해 요구하는 규격, 성질, 규모 등을 기재한 문서로 협상에 의한 계약 시 입찰에 참여하고자 하는 자에게 교부하여 제출받는 서류를 말한다.",계약예규 6. 제2조
337,자,제조원가,"계약목적물을 제조하는 과정에서 발생하는 재료비, 노무비, 경비의 합계액을 말한다. 다만, 관급재료비는 제외한다.","계약예규 2. 제7조, 방산원가대상물자의원가계산에관한규칙 제2조"
338,자,제한경쟁입찰,"일반경쟁과는 달리 경쟁참가자의 자격을 제한하는 입찰로서 공사실적, 물품제조실적, 품질인증 여부, 용역수행실적, 영업소의 소재지, 중소기업제품 여부 등에 따라 참가 자격이 제한된다.",국계법 시행령 제21조
339,자,조달,"Procurement. 경제주체의 활동에 필요한 적정한 물자, 시설 또는 용역을 필요한 시기와 장소에 획득함으로써 경제주체의 활동을 원활하게 하는 것을 말한다.",국방전력발전업무훈령 별표
340,자,조달계획,"군수품의 조달 방법, 시기, 품목 등의 계획을 수립한 것으로 방위사업청은 이에 따라 군수품을 조달한다.",방위사업법 제25조
341,자,조달원 관리지침,"국계법에 따라 방위사업청 입찰 및 계약에 참여를 희망하는 신규 및 기존 조달원의 각종 등록 및 관리에 관한 사항을 규정함을 목적으로 하는 방위사업청 예규이다. 주요 내용으로는 조달원 구분, 등록 절차, 품목 등록, 관리 등이 있으며 감사관실(고객지원센터)에서 담당한다.",조달원 관리지침
342,자,조달원 등록증,"방위사업청에서 발주하는 국내조달/국외조달 입찰에 참여할 수 있는 조달업체임을 증명하는 등록증을 말한다. 국내조달원 등록증에는 품목등록 내용이 포함되며, 국내조달원 등록증/국외조달원 등록증은 국방전자조달시스템 메인화면 좌측 하단 - 조달서비스 - 사이버 고객센터 - 조달원등록증 국내 | 국외 메뉴에서 확인 및 출력이 가능하다.",조달원 관리지침 제7조
343,자,조달원(조달업체),국방전자조달시스템을 통하여 전자거래를 하기 위하여 국방전자조달시스템 전자입찰 특별유의서에 따라 등록된 업체로서 입찰 및 계약에 참여하는 업체를 말한다.,국방전자조달시스템 전자입찰 특별유의서 제2조
344,자,조달정보 공개/개방,"정부3.0 세부 과제 중의 하나인 공공데이터 개방 정책에 따라 방위사업청은 각종 공공데이터 개방을 추진하고 있으며 조달정보 역시 적극적으로 개방해나가고 있다. 조달정보 공개/개방은 국방전자조달시스템의 조달계획, 입찰공고, 입찰결과, 계약정보 등 여러 조달정보(비공개 대상 정보는 제외)를 종합페이지에 모아 한곳에서 쉽게 찾아볼 수 있는 서비스를 말하며, 정보 조회 및 엑셀다운로드 등을 통해 편리하게 얻을 수 있다.",정보화기획담당관
345,자,조달청 구매,"방위사업법에 따라 군수품 조달은 방위사업청에서 주관하는 중앙조달, 각 군부대에서 직접 조달하는 부대조달, 또는 조달청에 요청하여 구매하는 조달청 구매로 나눌 수 있다.",방위사업법 제25조
346,자,조달판단,"사업관리부서 및 기관의 조달요구품목의 구매추진에 필요한 사전판단 절차로서 계약방법, 조달원, 예산 등을 확인 검토 및 결정하는 일련의 과정을 말한다.",방위사업관리규정 별표
347,자,조사금액,예정가격을 결정하기 위하여 가격조사 또는 원가계산방식에 의하여 산정한 금액으로서 기초예비가격 결정의 기준이 되는 가격을 말한다.,계약업무처리훈령
348,자,종합계약,"같은 장소에서 다른 관서, 지방자치단체 또는 공기업 및 준정부기관이 관련되는 공사 등에 대해 관련 기관과 공동으로 발주하는 계약",국계법 제24조
349,자,종합계약공사,"조달청장이 종합계약에 의하는 것이 적합하다고 인정한 간선시설공사로서 도로관리청이 동 계약방식에 의할 것을 조건으로 허가·협의 또는 승인하거나, 사업실시계획의 승인 또는 인가권자가 동 계약방식에 의하도록 승인·인가한 사업실시계획상의 간선시설공사를 말한다.",계약예규 15. 제2조
350,자,주계약자,주계약자관리방식의 공동계약에서 공동수급체 구성원 중에서 전체 건설공사의 이행에 관하여 종합적인 계획관리조정을 하는 자를 말한다.,계약예규 8. 제2조
351,자,주계약자관리방식,"공동계약의 유형 중 하나로 건설산업기본법에 따른 건설공사를 시행하기 위한 공동수급체의 구성원중 주계약자를 선정하고, 주계약자가 전체 건설공사 계약의 수행에 관하여 종합적인 계획관리 및 조정을 하는 공동계약을 말한다. 이 경우 종합건설업자와 전문건설업자가 공동으로 도급받은 경우에는 종합건설업자가 주계약자가 된다.",계약예규 8. 제2조의2
352,자,중도금,"장기계속계약에 있어서 관계증빙서류에 의하여 계약상대자의 자금지출이 착수금을 초과하여 사용된 것이 확인되고, 계약상대자가 당해 계약의 이행을 위하여 계약상대자의 자금을 사용하였음을 증빙하는 서류를 첨부하여 자금지급을 청구하는 때에 지급되거나 착수금에서 전환되는 금액을 말한다.",계약상식 질의응답집
353,자,중도확정계약,계약의 성질상 계약을 체결하는 때에 계약금액의 확정이 곤란하여 계약을 체결한 후 계약이행기간 중에 계약금액을 확정하고자 하는 경우에 체결하는 계약을 말한다.,방위사업법 시행령 제61조
354,자,중복금액,"전차공사 구조물과 기능이 상호 연결되어 동일체구조물을 형성하여 하자사유가 발생되고, 동일인이 계속하여 시공함이 적합하다고 판단되는 금차 공사금액 중 하자담보책임기간 내에 시공하는 금차 공사금액으로서 “중복금액”은 수직적 분할(상ㆍ하)로 접합 시공되는 금액을 말하며, 하자담보책임기간 내에 당해 구조물을 시공하는데 필요로 하는 재료비(도급자설치 관급금액 포함, 이하 같다), 노무비, 산출경비, 제경비 등을 합한 완성 공사비를 기준으로 계산한다.",계약업무처리훈령
355,자,중소기업자간 계약이행능력심사,’06.1월부터 「중소기업제품 구매촉진 및 판로지원에 관한 법률」에 따라 중소기업청장이 지정하는 중소기업자간 경쟁물품에 대한 경쟁입찰 시 적용하기 위해 적격심사와 별도로 도입된 제도를 말한다.,계약실무편람
356,자,중앙조달,"방위사업법에 따라 군수품 조달은 국방예산의 효율적인 집행을 위하여 방위사업청에서 일괄적으로 조달하며, 이를 중앙조달이라 한다. 즉 국방전자조달시스템에서 발주기관이 방위사업청 계약부서로 되어 있는 입찰은 중앙조달이라 볼 수 있고 부대조달과는 달리 품목등록 신청 및 승인이 완료되어야 입찰에 참여할 수 있다.",방위사업법 제25조
357,자,지명경쟁입찰,일반경쟁과는 달리 경쟁입찰에 참여할 참가자를 계약관이 지명하여 입찰에 참여시키는 입찰 방법을 말하며 지명할 수 있는 조건은 관계법령에 규정되어 있다.,국계법 시행령 제23조
358,자,지문보안토큰,"조달청 「나라장터 Bio보안토큰 제품 지정 및 관리규정」에 따라 Bio보안토큰으로 지정된 제품으로서 전자서명생성키, 지문 등 비밀정보를 안전하게 저장·보관하기 위하여 키 생성·전자서명 생성 등이 기기내부에서 처리되도록 구현된 하드웨어 기기를 말한다.",국방전자조달시스템 이용에 관한 약관 제2조
359,자,지문인식 신원확인 적용예외 신청,"입찰참가 방식이 지문인식 신원확인 전자입찰인 경우, 지문보안토큰에 장애가 발생하거나 지문이 인식되지 않는 경우 등으로 지문보안토큰을 이용한 전자입찰서의 제출이 곤란한 경우에는 별도의 지문인식 신원확인 적용예외 신청서를 입찰서제출 마감일시까지 국방전자조달시스템을 통해 제출하면 48시간 동안 기존 공인인증서에 의해 전자입찰서를 제출할 수 있도록 하는 제도를 말한다. 국방전자조달시스템 - 지문인식 로그인에서 신청할 수 있다. (전자입찰자별로 2회까지 제출 가능하며, 조달청을 방문하여 지문인식오류 사유서 제출, 지문보안토큰 점검 등 필요한 조치를 취해야 한다)",국방전자조달시스템 이용에 관한 약관 제12조
360,자,지문인식 신원확인 전자입찰,"전자입찰자의 신원확인을 위해 지문보안토큰을 이용하는 전자입찰을 말한다. 본 제도는 업체 간 담합, 브로커 개입 등 불법투찰을 방지하기 위해 지난 '10년부터 도입되었으며 입찰서 제출을 위해서는 반드시 지문보안토큰을 통해 로그인을 해야 한다. (단, 예외적인 경우에 한해 지문인식 예외신청 가능)",국방전자조달시스템 이용에 관한 약관 제2조
361,자,지식기반사업,"정보과학기술 등 집약도가 높은 지식을 활용하여 고부가가치를 창출하는 사업으로 관련 규정에 따른 엔지니어링사업, 정보통신산업, 정보화에 관한 사업, 산업디자인에 관한 사업, 문화산업, 온라인디지털콘텐츠산업, 기초과학 및 응용과학에 관한 학술연구용역 등이 있다.",국계법 시행령 제43조의2
362,자,지역분할단가제,"방위사업청 중앙조달 식품류 입찰에서 실시되는 제도로 전 군을 4개 또는 8개 지역으로 구분하여 지역별로 입찰을 실시하여, 각 지역별 낙찰업체와 계약을 체결하는 입찰방법을 말하며 업체의 생산능력 제한, 중소기업자간 경쟁품목 등과 같이 조달의 안정성이 요구되는 품목에 대해서는 제품의 특성과 지역 내의 수송여건 및 조달업체의 수를 고려하여 지역분할에 의한 계약을 체결할 수 있다.","국방조달 참여 길라잡이, 방위사업관리규정 제390조 8항"
363,자,지역업체,"시설공사에 있어 공동수급체 구성원 중 당해 공사현장을 관할하는 특별시, 광역시 및 도에 주된 영업소가 소재한 업체",계약예규 3. 별표2
364,자,지역제한,경쟁입찰에서 조달업체의 주된 영업소 위치에 따라 입찰 참여를 제한하는 것을 말한다. 주된 영업소가 공사의 현장·납품지 등이 소재하는 시·도의 관할구역 안에 있는 자로 제한되며 이때 주된 영업소의 소재지 기준일은 입찰공고일 전일로 하며 계약체결일까지 계속 유지되어야 한다. 지역제한 위치는 국방전자조달시스템 - 입찰공고 내역 - 위치 에서 확인 가능하다.,계약예규
365,자,지정공인인증기관,전자서명법에 의한 공인인증기관 중 국가종합전자조달시스템(나라장터) 운영자가 지정하여 국방전자조달시스템 상의 인증업무를 수행하는 기관,전자서명법 제2조
366,자,지체상금,정당한 이유 없이 계약의 이행을 지체한 계약상대자에 그 기간에 해당하는 금액을 상정하여 부과하는 금액으로 지체상금 = 계약금액 X 지체상금율 X 지체일수로 산출한다.,국계법 제26조
367,자,지체상금 보증보험제도,지체상금이 있는 납품대가 청구시 계약상대자가 지체상금 면제원과 지급보증서를 제출할 경우 납품대가전액을 우선 지급하고 향후 지체상금 면제승인결과에 따라 확정된 지체상금 및 약정이자를 환수하는 제도를 말한다. (방위사업청 중앙조달만 해당),조달관리 실무과정
368,자,지출결의,국고금관리법에 따라 재무관이 지출원인행위를 하는 경우 관련법령 등에서 정한 지출시기가 도래하기 전에 지출결의서를 작성하여 지출관에게 송부하는 행위를 말한다.,조달관리 실무과정
369,자,지출심사,재무관의 지출원인행위 업무 과정에서 계약업체의 계약이행 대가 및 선급금 청구에 대하여 제반사항을 확인하고 지출결의하여 지출관에게 지출의뢰하는 것을 말한다.,조달관리 실무과정
370,자,지출원인행위,「국고금 관리법」에 따른 재무관이 세출예산·계속비·국고채무부담행위 및 기금운용계획에 따라 지출의 원인이 되는 계약 등을 하는 것을 말한다.,국고금 관리법 시행령 제2조
371,자,지하구,"복수의 기관들이 각각 필요한 전기, 전기통신, 가스, 상하수도시설 등을 동시에 설치할 수 있도록 된 터널형태의 지하구조물을 말한다.",계약예규 15. 제2조
372,자,추가업무,용역계약에서 계약목적의 달성을 위해 기본업무 외에 계약담당공무원이 추가하여 지시 또는 승인한 용역을 말한다.,계약예규 11. 제2조
373,차,착수금,계약상대자의 당해 계약이행을 위해 사용할 자금을 청구할 때에 정해진 지급기준에 따라 지급하는 금액을 말한다.,지출심사 실무지침서
374,차,책임감리,"발주기관이 발주하는 일정한 건설공사에 대하여 감리전문회사가 당해 공사의 설계도서, 기타 관계서류의 내용대로 시공되는지의 여부를 확인하고 품질관리, 시공관리, 공정관리, 안전 및 환경관리 등에 대한 기술지도를 하며, 발주기관의 위탁에 의하여 관계법령에 따라 발주기관의 감독 권한을 대행하는 것을 말하며, 책임감리는 이를 공사감리의 내용에 따라 계약단위별 공사 전부에 대하여 시행하는 전면책임감리와 계약단위별 건설공사중 주요구조물인 교량, 터널, 배수문 등 일부에 대하여 시행하는 부분책임감리로 구분한다.",계약예규 11. 제39조
375,차,책임감리원,발주기관과 체결된 감리용역계약에 의하여 감리전문회사를 대표하여 현장에 상주하면서 당해공사 전반에 관한 감리업무를 총괄하는 자를 말한다.,계약예규 11. 제39조
376,차,청렴서약제,"방위사업의 수행에 있어 투명성 및 공정성을 높이기 위해 청렴서약서를 제출받는 제도로 청렴서약서에는 불공정행위 금지, 금품향응 제공 금지, 특정정보 제공 금지 등의 내용을 담고 있다. 국방전자조달시스템으로 전자입찰에 참여하는 조달업체는 청렴서약서에 동의하여야 입찰에 참여할 수 있다.",방위사업법 제6조
377,차,총액계약,계약목적물 전체에 대한 총액으로 계약하는 것으로 통상적인 계약형태로서 대부분의 계약품목에 적용된다.,계약방법 형태별 내용 적용 현황
378,차,총원가,제조원가에 일반관리비를 합한 금액을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
