word,freq,대분류,중분류,소분류
라이선스,76,IT·통신,소프트웨어,OS/보안SW
식육,76,기타,기타,기타
계획,76,기타,기타,기타
탄약고,76,기타,기타,기타
패킹,76,기타,기타,기타
냉각,75,기타,기타,기타
장구,75,기타,기타,기타
전문,75,기타,기타,기타
정보화,75,기타,기타,기타
중앙,75,기타,기타,기타
흡입,75,기타,기타,기타
감지기,75,공구·설비,안전/소방,소방/안전장비
이송,75,기타,기타,기타
노트북,75,IT·통신,PC/주변기기,PC/노트북
배낭,74,기타,기타,기타
개념,74,기타,기타,기타
방수,74,건설·시설,자재/철물,자재/철물
상륙,74,기타,기타,기타
초코,74,기타,기타,기타
게이지,74,공구·설비,측정/시험,계측기
외상,74,기타,기타,기타
멸균,73,기타,기타,기타
엘보,73,기타,기타,기타
정책,73,기타,기타,기타
양념,73,기타,기타,기타
임대,73,기타,기타,기타
시트,73,기타,기타,기타
라이트,73,기타,기타,기타
경유,72,차량·기동,연료/윤활,연료/윤활유
기준,72,기타,기타,기타
프레,72,기타,기타,기타
직접,72,기타,기타,기타
커플링,72,기타,기타,기타
울타리,72,기타,기타,기타
인터넷,72,기타,기타,기타
망원경,71,기타,기타,기타
병력,71,기타,기타,기타
대용,71,기타,기타,기타
무기체계,71,기타,기타,기타
서비스,70,기타,기타,기타
스마트,70,기타,기타,기타
장교,70,기타,기타,기타
발생,70,기타,기타,기타
고정,70,기타,기타,기타
프로그램,70,IT·통신,PC/주변기기,PC/노트북
표시,70,기타,기타,기타
핸드,70,기타,기타,기타
인승,70,기타,기타,기타
탐조등,70,기타,기타,기타
상병,69,기타,기타,기타
전대,69,기타,기타,기타
굴삭기,69,기타,기타,기타
문화,69,기타,기타,기타
전자전,69,기타,기타,기타
화상회의,69,기타,기타,기타
체인,69,기타,기타,기타
소켓,69,공구·설비,일반공구,수공구/전동공구
세탁,68,기타,기타,기타
접속,68,기타,기타,기타
감리,68,기타,기타,기타
번역,68,기타,기타,기타
드릴,68,공구·설비,일반공구,수공구/전동공구
바퀴,68,기타,기타,기타
화장실,68,기타,기타,기타
돈까스,67,기타,기타,기타
방위사업청,67,기타,기타,기타
경찰,67,기타,기타,기타
케이스,67,기타,기타,기타
혈액,67,의료·의약·위생,의료소모/장비,의료장비/키트
감속,67,기타,기타,기타
발사,67,기타,기타,기타
해외,66,기타,기타,기타
소총,66,기타,기타,기타
비디오,66,기타,기타,기타
보장,66,기타,기타,기타
국가,66,기타,기타,기타
절용,66,기타,기타,기타
한국,66,기타,기타,기타
함대,66,기타,기타,기타
비상,66,건설·시설,안전/현장,현장안전/표지
국외,66,기타,기타,기타
매트,65,기타,기타,기타
불고기,65,기타,기타,기타
위치,65,기타,기타,기타
대구,65,기타,기타,기타
워터,65,기타,기타,기타
구조,65,공구·설비,안전/소방,소방/안전장비
단말기,65,기타,기타,기타
연동,65,기타,기타,기타
손잡이,64,기타,기타,기타
무장,64,기타,기타,기타
운동복,64,기타,기타,기타
조기,64,기타,기타,기타
대응,64,기타,기타,기타
인치,64,기타,기타,기타
수행,64,기타,기타,기타
식단,64,기타,기타,기타
해안,64,기타,기타,기타
얼음,64,기타,기타,기타
허브,63,IT·통신,네트워크,스위치/라우터
마스크,63,의료·의약·위생,의료소모/장비,의료장비/키트
이스트,63,기타,기타,기타
감지,63,기타,기타,기타
백색,63,기타,기타,기타
콜라,62,기타,기타,기타
모바일,62,기타,기타,기타
기본,62,기타,기타,기타
계통,62,기타,기타,기타
소독기,62,의료·의약·위생,방역/위생,방역/소독
평면형,61,기타,기타,기타
컴퓨터,61,기타,기타,기타
도구,61,기타,기타,기타
조명기구,61,전력·전기전자,조명/전선,LED/전선
다수,61,기타,기타,기타
주파,61,기타,기타,기타
그린,61,기타,기타,기타
전압,61,기타,기타,기타
획득,61,기타,기타,기타
수입,61,기타,기타,기타
합금,61,기타,기타,기타
운동,61,기타,기타,기타
트랙,61,기타,기타,기타
유전자,61,기타,기타,기타
습기,61,기타,기타,기타
풋살,61,기타,기타,기타
