,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
148,00대대 실내체육관 신축공사(무대장치),LKH,제6128부대,체육,,"공사, 신축",
149,21-충-육-29실내체육관 관급자재(무대장치) 제조설치,LKD,제32보병사단,체육,,제조설치,
150,21-충-육-29 실내체육관 신축 관급잔재(GHP) 구매설치,LKD,제32보병사단,체육,,신축,
151,21-해-교육관 관급자재(제로에너지) 제조설치,UMM,국군재정관리단,교육,,제조설치,
152,시설물품(형광등 안정기 등 27종) 구매,MCX,자운대근무지원연대,물품,,형광등,
153,태풍아파트 에어컨 106대 구매설치,LNT,제28보병사단,에어컨,,아파트,
154,21년 사이버전산장비 유지보수,NIT,국방부조사본부,"유지보수, 전산",,보수,
155,"표준파렛트(황색, 녹색) 제조 설치 납품",LCF,육군군수사령부,파렛트,,제조 설치,
156,교육사 부사관 교육관 신축공사 통합배선 제조,SCK,해군교육사령부,교육,,"공사, 신축",
157,실린더 버터플라이 밸브 등 39종,HCF,공군군수사령부,실린더,,밸브,
158,실린더 버터플라이 밸브 등 39종,HCF,공군군수사령부,실린더,,밸브,
159,21-통합실내체육관 콘크리트말뚝 제조,SCK,해군교육사령부,체육,,콘크리트,
160,"리테이너, 원판형, 밸브용 등 3품목(21218)",HCC,해군제1수리창,원판,,밸브,
161,"앵글, 건축용 등 32종",SCR,해군제3함대사령부,앵글,,건축,
162,11사단 관사 신축 관급자재(홈네트워크),LGM,제11기동사단,네트워크,,신축,
163,21-해-00교육관 신축관급자재(통합배선) 제조설치,UMM,국군재정관리단,교육,,"신축, 제조설치",
164,시설물 유지보수 자재 148종 구매,HDK,공군제11전투비행단,유지보수,,보수,
