,입찰공고명,공고기관명
915,단안 야간 투시경 구매,제9965부대
916,교판(공병 보도조립체 교량용),방위사업청
917,교판(공병 보도조립체 교량용),방위사업청
918,K21장갑차 발전기 엔진보조용 외주정비,육군군수사령부
919,K21장갑차 발전기 엔진보조용 외주정비,육군군수사령부
920,프로그래머 등 4종 제조,공군군수사령부
921,프로그래머 등 4종 제조,공군군수사령부
922,피스톤 컴플레트 외 13종(압축기 부품),방위사업청
923,방화복,공군군수사령부
924,16년 발칸용 아크릴,방위사업청
925,16년 발칸용 아크릴,방위사업청
926,16년 발칸용 아크릴,방위사업청
927,16년 발칸용 아크릴,방위사업청
928,16년 발칸용 아크릴,방위사업청
929,16년 발칸 게이지류,방위사업청
930,16년 발칸 게이지류,방위사업청
931,수색휘장 등 18품목 구매,제3283부대
932,Truepress Jet520 전용잉크(CMYK) 등 6종 구매,국방출판지원단
933,16-F-003  압축기 유니트 제조 납품,국군재정관리단
934,16-F-003  압축기 유니트 제조 납품,국군재정관리단
935,확성기세트 부품,방위사업청
936,변압기  펄스용(GPS-98K용),방위사업청
937,변환기조립체(PHS-32용),방위사업청
938,공병우의,방위사업청
939,병사피복(훈련용 모장갑) 제조,국군재정관리단
940,비행가죽잠바(공군),방위사업청
953,16-고래2호(해상사격)표적 등 4종 구매,국군재정관리단
954,우측 덮개 조립체 등 19항목 구매(총포),육군군수사령부
956,전동 카운터 스태커 구매/설치,국군재정관리단
957,16년 40밀리 연습유탄,방위사업청
960,계체단 계룡코스 전동카 구동배터리 구매 설치,육군인사사령부
961,K9볼트등91종구매,제2879부대
962,K9볼트등91종구매,제2879부대
963,멀티탭 등 575종,해군교육사령부
964,황산,해군제2수리창
965,황산,해군제2수리창
966,백열등 등 10종,해군군수사령부
968,K9부품키트등9종구매,제2879부대
969,K9부품키트등9종구매,제2879부대
970,에이-케이블,방위사업청
971,함정 상가대 대차휠 정비,해군군수사령부
972,2.5톤 이동배식차 제조,국군재정관리단
973,딩기요트 5척 구매,해군사관학교
974,밸브류(궤도장비용),방위사업청
