,입찰공고명,공고기관명
7585,미8군 병영시설 및 간부숙소 물품(가구) 제조 납품,국군재정관리단
7612,17-목-항공정비실습장 콘크리트파일 제조 구매,해군제3함대사령부
7719,동원훈련장 총기보관함 제조설치,육군본부
7783,서바이벌 훈련용 페인트 볼 구매,국군재정관리단
7873,이동형페인트분무기 1EA,해군군수사령부
7878,00부대 독신숙소 비품 5종 제조설치,제1288부대
7889,미8군 병영시설 및 간부숙소 전자제품 구매 설치,국군재정관리단
7915,17-공-디젤엔진식 발전기 30KW 제조설치,국군재정관리단
7994,군숙소 도배장판 설치납품,제17보병사단
7998,페인트분무기 4EA,해군군수사령부
8028,00지역 병영생활관 신축 PHC파일 구매,제2136부대
8068,17-공-디젤발전기 150KW 제조설치,국군재정관리단
8069,17-공-디젤발전기 100KW 제조설치,국군재정관리단
8178,선봉대 체력단련장 보일러용 유류(하이신규) 구매,제7821부대
8228,군숙소 영선자재(절연테이프 등 389종) 구매,자운대근무지원단
8280,변속기시험실 수배전반 제조설치,국군재정관리단
8363,페인트붓등34종구매,제2879부대
8402,사무비품 5종 제조설치,국군재정관리단
8538,독신숙소 침대 제조납품,특수전사령부
8539,독신숙소 침대 제조납품,특수전사령부
8551,향방용 M16 총기보관함 제조설치,국군재정관리단
8554,17-해군 제2기관장비실습장(콘크리트 말뚝 제조),국군재정관리단
8640,00대 생활관 등 2곳 관급자재 콘크리트파일 제조 구매,제9227부대
8641,00대 생활관 등 2곳 관급자재 콘크리트파일 제조 구매,제9227부대
8682,00지역 병영생활관 신축 PHC파일 구매,제2136부대
8700,대형 콘크리트절단기 구매,국군재정관리단
8779,17-008 보통포틀랜드시멘트 등 152종,공군사관학교
8790,간부숙소 신축공사 관급자재 콘크리트 파일 제조,국군재정관리단
8805,독신숙소 택배 보관함 제조설치 납품,3공수특전여단
8979,00부대 체육관 신축 관급자재(콘크리트파일) 제조,국군재정관리단
8981,독신자숙소 에어컨 조달,공군제19전투비행단
8988,공군 구내방송장치 제조설치,국군재정관리단
8996,17년 VolP 교환기용 항온항습기 제조설치,육군본부
8998,17년 VolP 교환기용 음성동보장치 제조설치,육군본부
9023,병영생활관 신축공사 관급자재 배전반,제5861부대
9024,병영생활관 신축공사 관급자재 분전반,제5861부대
9025,병영생활관 신축공사 관급자재 조명기구,제5861부대
9029,헌병대 병영생활관 신축 조명기구 제조납품,제2군단
9030,헌병대 병영생활관 신축 CCTV 제조설치,제2군단
9031,헌병대 병영생활관 신축 방송영상설비 제조설치,제2군단
9054,무인감시장비 제조설치,육군본부
9092,보조보일러(중형/대형),방위사업청
9093,보조보일러(중형/대형),방위사업청
9117,17년 간부숙소 개선공사 비품구매,육군부사관학교
9123,00전대 도서기지 창고 호이스트 크레인 제조설치,제9911부대
9124,BTL 숙소 가전제품(냉장고  세탁기) 구매,공군제11전투비행단
9169,17-간부숙소 신축공사 합성수지 창호 제조 설치,국군재정관리단
9173,간부숙소비품(세탁기 등 4종) 구매설치,국군재정관리단
9175,강의장 비품(수강용탁자) 제조설치,국군재정관리단
9252,예비군부대 컨테이너 제조설치납품,제1989부대
9263,페인트붓등35종구매,제2879부대
9329,희석제 우레탄페인트 등 2품목,공군군수사령부
9473,시멘트 등 3종 구매,국군재정관리단
9557,이동발효식 화장실 제조설치,국군재정관리단
9580,17-F-015  디젤엔진식 발전기세트(60KW) 제조설치,국군재정관리단
9610,17년 호이스트 제조설치,국군재정관리단
9612,병영생활관 전기승압공사 자재 구매,제17보병사단
9638,17-간부숙소 신축공사 콘크리트 파일 제조,국군재정관리단
9646,유성페인트 등 14품목,제9181부대
9884,격오지 독서카페(182동) 제조설치,국군재정관리단
9899,독신숙소 전자도어락 구매/설치,제6685부대
10107,관급자재(콘크리트파일) 제조,국군재정관리단
10108,00아파트 합성수지제창호 제조 설치,국군재정관리단
10117,00대 생활관 신축 관급자재 CCTV 장치 구매 설치,제9227부대
10118,00대 생활관 신축 관급자재 기와 제조 구매,제9227부대
10120,00대 생활관 신축 관급자재 통합배선 제조 설치,제9227부대
10121,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,제9227부대
10138,00대 생활관 신축 관급자재 플라스틱 창호 제조 구매,제9227부대
10139,침대생산자재 철재류(사각파이프 등 29종 제조,국군재정관리단
10176,콘크리트파일 제조(00정비대대 창고),국군재정관리단
10177,콘크리트파일 제조(00보급대대 창고),국군재정관리단
10208,00대대 풋살경기장 인조잔디 제조설치 납품,수도군단
10235,독신숙소 TV 및 비데 설치 납품,육군사관학교
10251,00사 간부숙소 신축 관급자재 GHP냉난방기 설치 납품,국군재정관리단
10264,풋살장 신축 인조잔디 및 충진재 제조설치납품,육군종합군수학교
10300,17-모형(견인형 발칸 등 10종) 제조설치,국군재정관리단
10301,본관 신축 관급자재(콘크리트 파일)제조,국군재정관리단
10411,보일러 35대 구매 설치,계룡대근무지원단
10508,침대생산자재 목재류(바닥판 등 3종) 제조,국군재정관리단
10572,17-조-8 독신자숙소 가전제품,공군 작사예하 방포사예하 제2여단
10614,독신숙소 디지털 도어락 설치납품,3공수특전여단
10650,화학저항페인트,방위사업청
10651,풋살경지장 인조잔디 제조설치 납품,수도방위사령부
10672,공군교육사령부 독신자숙소 냉방기 508대 구매 설치,공군교육사령부
10695,01정비대대 병영생활관 진공온수보일러 제조설치납품,육군 제1군단
10696,01정비대대 병영생활관 진공온수보일러 제조설치납품,육군 제1군단
10713,탄약 정비자재(국방색 페인트 등 7종)제조,육군 제3808부대
10714,탄약 정비자재(국방색 페인트 등 7종)제조,육군 제3808부대
10729,이동식화장실 트레일러 제조설치,국군재정관리단
10834,00대 풋살경기장 인조잔디 제조설치 납품,수도방위사령부
10835,00단 풋살경기장 인조잔디 제조설치 납품,수도방위사령부
10871,00부대 CCTV 제조설치,국군재정관리단
10876,`17년 풋살경기장 5개소 인조잔디 제조설치,제9보병사단사령부
10877,17-간부숙소 신축공사 수배전반 제조 설치,국군재정관리단
10902,17-간부숙소 신축공사 태양광 발전기 제조 설치,국군재정관리단
10922,아파트 싱크대 제조 설치납품,국방부근무지원단
10970,생도숙소 비품 제조설치,국군재정관리단
11021,공군 항공작전녹음기 제조설치,국군재정관리단
11025,00부대 신축공사 관급자재 콘크리트 파일 제조,국군재정관리단
11186,00지역 행정동 신축공사 방송설비 제조설치,국군재정관리단
11187,00지역 본청 신축공사 방송설비 제조설치,국군재정관리단
11188,00지역 행정동 신축공사 통합배선설비 제조설치,국군재정관리단
11189,00지역 본청 신축공사 통합배선설비 제조설치,국군재정관리단
11267,000사업 UPS 및 배터리 제조설치,제3707부대
11276,17-콘크리트파일 제조,국군재정관리단
11283,00학교 생도숙소 비품 구매,국군재정관리단
11359,5개소 인조잔디 제조설치 납품,제17보병사단
11376,17-간부숙소 신축공사 데크플레이트 제조,국군재정관리단
11403,신축공사 관급자재(통합배선반) 제조설치,국군재정관리단
11457,사령부 본청 신축공사 통합배선설비 제조설치,제25보병사단
11459,사령부 본청 신축공사 방송장비 제조설치,제25보병사단
11498,관사 및 통합생활관 관급자재 통합배선 제조 설치,국군재정관리단
11526,기혼자숙소 보수공사 씽크대 제조 설치,육군군수사령부
11528,간부숙소 객실관리시스템  제조설치,국군재정관리단
11560,01정비대대 병영생활관 신축_GHP,육군 제1군단
11577,17-관급자재 급탕탱크 2EA 제조설치,국군재정관리단
11578,17-관급자재 급탕탱크 2EA 제조설치,국군재정관리단
11579,17-관급자재 진공온수보일러 제조 설치,국군재정관리단
11580,00부대 무기고 컨테이너 제조설치 납품,특수전사령부
11582,00부대 민사부대 무기고 컨테이너 제조설치 납품,특수전사령부
11606,독신자숙소(106  107동) 보일러 교체설치,공군제19전투비행단
11622,전원공급장치 제조설치,국군재정관리단
11676,대형정수기 제조설치 납품,수도방위사령부
11685,UPS 및 축전지 검측시스템 제조설치,국군재정관리단
11688,출입통제체계용 철제 울타리 제조설치,육군본부
11694,출입통제체계용 UPS 제조설치,육군본부
11710,17-00지역 신축공사 관급자재(CCTV) 제조설치,국군재정관리단
11711,17-00지역 신축공사 관급자재(발전기) 제조설치,국군재정관리단
11712,17-00지역 신축공사 관급자재(조명제어) 제조설치,국군재정관리단
11720,17-00지역 신축공사 관급자재(통합배선) 제조설치,국군재정관리단
11752,00탄약대대 제습기 제조설치,국군재정관리단
