입찰명
"4분기 건강검진 시약류, 치과재료류 구매"
누적페인트 제거용 파쇄날 구매
중형굴삭기 크라샤 구매(16-220)
김치절단기 구매
4분기 정보체계운영예산 구매
국군교도소 침대생산자재 구매(4차_부수소모자재)
지휘통제실 화면전시체계 보강장비 구매설치
어린이집 교재교구비품 구매
의약품 51종 구매(16-18차)
Y자형 꽂이 등 355품목
OO지역 IP전화통신망 구축사업(리스물건)
의약품(218차) 구매
거점 유선시설 보강을 위한 동케이블 구매
취사장 주방용 소화기 구매
국방망 네트워크접근제어체계 교체사업 리스
해안경계 통합시스템 구축사업 리스
전산운영용품 8종 구매
재생토너 등 7종
디지털 카메라 시스템 1SET
공구걸이대 등 2종
전산운영용품(3차) 구매
전산운영용품 구매(4차) 계약
1톤 포터 타이어 등 4종
EPSON 잉크 등 41종
펀치 등 41종
무전기 등 6품목 구매
전자순찰시계 등 3종 구매
데스크 미니 청소기 등 70종
항-16-075 황사마스크 KF80
시설대대 도로표지용 도료(백색)(16-311)
톤마대 구매
16년 26차 부대구매 의료기재
트로잔배터리 30개
복사용지 등 11종
위성관제대대 앰프시스템 구매사업
부대조달 의료기재 구매 10차
통신시설 케이블 보강자재 구매
